slug_en,slug_ar,dir,label_en,label_ar,icon,avg_time_iso,steps_id,intro_ar
word-to-powerpoint,تحويل-ملف-وورد-بوربوينت,DOCX→PPT,Convert Word to PowerPoint,تحويل ملف وورد إلى بوربوينت,word-ppt.svg,PT30S,word_to_ppt,
powerpoint-to-video,تحويل-بوربوينت-إلى-فيديو,PPT→MP4,Convert PowerPoint to Video,تحويل بوربوينت إلى فيديو,ppt-video.svg,PT40S,ppt_to_video,
powerpoint-to-pdf,تحويل-بوربوينت-بي-دي-اف,PPT→PDF,Convert PowerPoint to PDF,تحويل بوربوينت الى بي دي اف,ppt-pdf.svg,PT25S,ppt_to_pdf,تحويل عروض بوربوينت إلى ملفات PDF عالية الدقة في ثوانٍ مباشرة من متصفحك، دون تسجيل أو تثبيت أي برامج إضافية، برنامج يدعم اللغة العربية بشكل كامل نحافظ على كل الخطوط والتنسيقات والرسومات داخل الشرائح، لتضمن نسخة مطابقة للعرض الأصلي تصلح للطباعة والمشاركة الرقمية بلا فقدان للجودة. يدعم الملفات الكبيرة حتى مئتي ميغابايت، ويتوافق مع جميع إصدارات PPT و PPTX على أنظمة ويندوز، ماك، أندرويد، و iOS بدون قيود.
pdf-to-powerpoint,تحويل-بي-دي-اف-بوربوينت,PDF→PPT,Convert PDF to PowerPoint,تحويل PDF إلى بوربوينت,pdf-ppt.svg,PT45S,pdf_to_ppt,
powerpoint-to-word,تحويل-البوربوينت-الى-وورد,PPT→DOCX,Convert PowerPoint to Word,تحويل البوربوينت إلى وورد,ppt-word.svg,PT40S,ppt_to_word,
excel-to-powerpoint,تحويل-اكسل-بوربوينت,XLSX→PPT,Convert Excel to PowerPoint,تحويل اكسل إلى بوربوينت,excel-ppt.svg,PT40S,excel_to_ppt,
powerpoint-to-google-slides,تحويل-بوربوينت-جوجل-سلايد,PPT→GSLIDES,Convert PowerPoint to Google Slides,تحويل بوربوينت إلى جوجل سلايد,ppt-gslides.svg,PT35S,ppt_to_gslides,
google-slides-to-powerpoint,تحويل-جوجل-سلايد-بوربوينت,GSLIDES→PPT,Convert Google Slides to PowerPoint,تحويل جوجل سلايد إلى بوربوينت,gslides-ppt.svg,PT30S,gslides_to_ppt,
powerpoint-to-jpeg,تحويل-بوربوينت-صور,PPT→JPG,Convert PowerPoint to Images,تحويل بوربوينت إلى صور,ppt-jpg.svg,PT25S,ppt_to_jpg,
ppt-to-video,تحويل-بوربوينت-فيديو,PPT→MP4,Convert PowerPoint to Video,تحويل بوربوينت إلى فيديو,ppt-video.svg,PT90S,ppt_to_video,
notion-to-powerpoint,تحويل-نوشن-بوربوينت,DOC→PPT,Convert Notion Page to PowerPoint,تحويل صفحة Notion إلى بوربوينت,default.svg,PT30S,notion_to_powerpoint,
syllabus-to-scorm,تحويل-منهج-سكورم,DOC→PPT,Convert Syllabus to SCORM,تحويل منهج إلى SCORM,default.svg,PT30S,syllabus_to_scorm,
course-to-quiz,تحويل-دورة-اختبار,DOC→PPT,Convert Course to Quiz,تحويل دورة إلى اختبار,default.svg,PT30S,course_to_quiz,
ppt-to-english,بوربوينت-إلى-انجليزي,DOC→PPT,Translate PPT to English,ترجمة بوربوينت إلى الإنجليزية,default.svg,PT30S,ppt_to_english,
training-manual-to-slides,تحويل-دليل-تدريب-شرائح,DOC→PPT,Training Manual to Slides,تحويل دليل تدريب إلى شرائح,default.svg,PT30S,training_manual_to_slides,
word-to-arabic-slides,تحويل-وورد-شرائح-عربي,DOC→PPT,Word to Arabic Slides,تحويل وورد إلى شرائح عربية,default.svg,PT30S,word_to_arabic_slides,
ppt-rtl-fix,تصحيح-بوربوينت-rtl,DOC→PPT,Fix RTL Slides,تصحيح تنسيق الشرائح من اليمين إلى اليسار,default.svg,PT30S,ppt_rtl_fix,
ppt-analytics,تحليلات-بوربوينت,DOC→PPT,PPT Usage Analytics,تحليلات استخدام بوربوينت,default.svg,PT30S,ppt_analytics,
